symbol,bb_period,bb_std,vol_mult,max_hold,bb_exit_mid,adx_ceil,rsi_floor,rsi_ceil,tp,sl,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,1.2,18,True,15,20,45,0.03,0.015,-20.06508389369039,12,False,,,2,,,-40.13016778738078,0.2,10,-0.08572290639041527,-0.010515434715652888
KRW-BTC,20,2.0,1.2,18,True,15,20,45,0.03,0.02,-16.780906500293558,12,False,,,2,,,-33.561813000587115,0.3,10,-0.09376096409639104,-0.011378464401826651
KRW-BTC,20,2.0,1.2,18,True,15,20,45,0.04,0.01,-17.281718859270764,12,False,,,2,,,-34.56343771854153,0.2,10,-0.061058224767004864,-0.007393069272458546
KRW-BTC,20,2.0,1.2,18,True,15,20,45,0.04,0.015,-20.06508389369039,12,False,,,2,,,-40.13016778738078,0.2,10,-0.08572290639041527,-0.010515434715652888
KRW-BTC,20,2.0,1.2,18,True,15,20,45,0.04,0.02,-16.780906500293558,12,False,,,2,,,-33.561813000587115,0.3,10,-0.09376096409639104,-0.011378464401826651
KRW-BTC,20,2.0,1.2,18,True,15,20,45,0.05,0.01,-17.281718859270764,12,False,,,2,,,-34.56343771854153,0.2,10,-0.061058224767004864,-0.007393069272458546
KRW-BTC,20,2.0,1.2,18,True,15,20,45,0.05,0.015,-20.06508389369039,12,False,,,2,,,-40.13016778738078,0.2,10,-0.08572290639041527,-0.010515434715652888
KRW-BTC,20,2.0,1.2,18,True,15,20,45,0.05,0.02,-16.780906500293558,12,False,,,2,,,-33.561813000587115,0.3,10,-0.09376096409639104,-0.011378464401826651
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.02,0.01,-13.365216164113003,9,False,,,2,,,-26.730432328226005,0.14285714285714285,7,-0.06696146046702585,-0.007205714285714252
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.02,0.015,-16.452704438550544,9,False,,,2,,,-32.90540887710109,0.14285714285714285,7,-0.08685925041250675,-0.010239807775991863
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.02,0.02,-13.074612520492995,9,False,,,2,,,-26.14922504098599,0.2857142857142857,7,-0.0902693958646685,-0.010046278756240106
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.03,0.01,-9.67188542537512,9,False,,,2,,,-19.34377085075024,0.14285714285714285,7,-0.06696146046702582,-0.006308179281056661
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.03,0.015,-12.754855000268778,9,False,,,2,,,-25.509710000537556,0.14285714285714285,7,-0.08685925041250686,-0.009342272771334273
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.03,0.02,-10.645161731440243,9,False,,,2,,,-21.290323462880487,0.2857142857142857,7,-0.09026939586466845,-0.009148743751582514
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.04,0.01,-9.67188542537512,9,False,,,2,,,-19.34377085075024,0.14285714285714285,7,-0.06696146046702582,-0.006308179281056661
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.04,0.015,-12.754855000268778,9,False,,,2,,,-25.509710000537556,0.14285714285714285,7,-0.08685925041250686,-0.009342272771334273
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.04,0.02,-10.645161731440243,9,False,,,2,,,-21.290323462880487,0.2857142857142857,7,-0.09026939586466845,-0.009148743751582514
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.05,0.01,-9.67188542537512,9,False,,,2,,,-19.34377085075024,0.14285714285714285,7,-0.06696146046702582,-0.006308179281056661
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.05,0.015,-12.754855000268778,9,False,,,2,,,-25.509710000537556,0.14285714285714285,7,-0.08685925041250686,-0.009342272771334273
KRW-BTC,20,2.0,1.2,18,True,15,25,40,0.05,0.02,-10.645161731440243,9,False,,,2,,,-21.290323462880487,0.2857142857142857,7,-0.09026939586466845,-0.009148743751582514
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.02,0.01,-17.281718859270764,12,False,,,2,,,-34.56343771854153,0.2,10,-0.061058224767004864,-0.007393069272458546
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.02,0.015,-20.06508389369039,12,False,,,2,,,-40.13016778738078,0.2,10,-0.08572290639041527,-0.010515434715652888
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.02,0.02,-16.780906500293558,12,False,,,2,,,-33.561813000587115,0.3,10,-0.09376096409639104,-0.011378464401826651
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.03,0.01,-17.281718859270764,12,False,,,2,,,-34.56343771854153,0.2,10,-0.061058224767004864,-0.007393069272458546
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.03,0.015,-20.06508389369039,12,False,,,2,,,-40.13016778738078,0.2,10,-0.08572290639041527,-0.010515434715652888
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.03,0.02,-16.780906500293558,12,False,,,2,,,-33.561813000587115,0.3,10,-0.09376096409639104,-0.011378464401826651
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.04,0.01,-17.281718859270764,12,False,,,2,,,-34.56343771854153,0.2,10,-0.061058224767004864,-0.007393069272458546
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.04,0.015,-20.06508389369039,12,False,,,2,,,-40.13016778738078,0.2,10,-0.08572290639041527,-0.010515434715652888
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.04,0.02,-16.780906500293558,12,False,,,2,,,-33.561813000587115,0.3,10,-0.09376096409639104,-0.011378464401826651
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.05,0.01,-17.281718859270764,12,False,,,2,,,-34.56343771854153,0.2,10,-0.061058224767004864,-0.007393069272458546
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.05,0.015,-20.06508389369039,12,False,,,2,,,-40.13016778738078,0.2,10,-0.08572290639041527,-0.010515434715652888
KRW-BTC,20,2.0,1.2,18,True,15,25,45,0.05,0.02,-16.780906500293558,12,False,,,2,,,-33.561813000587115,0.3,10,-0.09376096409639104,-0.011378464401826651
